"","date","hits","keyword","geo","gprop","category"
"1",2012-03-24 23:00:00,34,"the children","GB","web",0
"2",2012-03-31 22:00:00,28,"the children","GB","web",0
"3",2012-04-07 22:00:00,30,"the children","GB","web",0
"4",2012-04-14 22:00:00,37,"the children","GB","web",0
"5",2012-04-21 22:00:00,39,"the children","GB","web",0
"6",2012-04-28 22:00:00,37,"the children","GB","web",0
"7",2012-05-05 22:00:00,39,"the children","GB","web",0
"8",2012-05-12 22:00:00,39,"the children","GB","web",0
"9",2012-05-19 22:00:00,39,"the children","GB","web",0
"10",2012-05-26 22:00:00,41,"the children","GB","web",0
"11",2012-06-02 22:00:00,33,"the children","GB","web",0
"12",2012-06-09 22:00:00,35,"the children","GB","web",0
"13",2012-06-16 22:00:00,35,"the children","GB","web",0
"14",2012-06-23 22:00:00,31,"the children","GB","web",0
"15",2012-06-30 22:00:00,30,"the children","GB","web",0
"16",2012-07-07 22:00:00,30,"the children","GB","web",0
"17",2012-07-14 22:00:00,27,"the children","GB","web",0
"18",2012-07-21 22:00:00,22,"the children","GB","web",0
"19",2012-07-28 22:00:00,23,"the children","GB","web",0
"20",2012-08-04 22:00:00,22,"the children","GB","web",0
"21",2012-08-11 22:00:00,23,"the children","GB","web",0
"22",2012-08-18 22:00:00,24,"the children","GB","web",0
"23",2012-08-25 22:00:00,24,"the children","GB","web",0
"24",2012-09-01 22:00:00,31,"the children","GB","web",0
"25",2012-09-08 22:00:00,33,"the children","GB","web",0
"26",2012-09-15 22:00:00,36,"the children","GB","web",0
"27",2012-09-22 22:00:00,37,"the children","GB","web",0
"28",2012-09-29 22:00:00,39,"the children","GB","web",0
"29",2012-10-06 22:00:00,36,"the children","GB","web",0
"30",2012-10-13 22:00:00,39,"the children","GB","web",0
"31",2012-10-20 22:00:00,35,"the children","GB","web",0
"32",2012-10-27 22:00:00,31,"the children","GB","web",0
"33",2012-11-03 23:00:00,40,"the children","GB","web",0
"34",2012-11-10 23:00:00,48,"the children","GB","web",0
"35",2012-11-17 23:00:00,41,"the children","GB","web",0
"36",2012-11-24 23:00:00,39,"the children","GB","web",0
"37",2012-12-01 23:00:00,39,"the children","GB","web",0
"38",2012-12-08 23:00:00,38,"the children","GB","web",0
"39",2012-12-15 23:00:00,34,"the children","GB","web",0
"40",2012-12-22 23:00:00,25,"the children","GB","web",0
"41",2012-12-29 23:00:00,31,"the children","GB","web",0
"42",2013-01-05 23:00:00,38,"the children","GB","web",0
"43",2013-01-12 23:00:00,35,"the children","GB","web",0
"44",2013-01-19 23:00:00,35,"the children","GB","web",0
"45",2013-01-26 23:00:00,38,"the children","GB","web",0
"46",2013-02-02 23:00:00,39,"the children","GB","web",0
"47",2013-02-09 23:00:00,36,"the children","GB","web",0
"48",2013-02-16 23:00:00,34,"the children","GB","web",0
"49",2013-02-23 23:00:00,38,"the children","GB","web",0
"50",2013-03-02 23:00:00,39,"the children","GB","web",0
"51",2013-03-09 23:00:00,42,"the children","GB","web",0
"52",2013-03-16 23:00:00,43,"the children","GB","web",0
"53",2013-03-23 23:00:00,35,"the children","GB","web",0
"54",2013-03-30 23:00:00,30,"the children","GB","web",0
"55",2013-04-06 22:00:00,33,"the children","GB","web",0
"56",2013-04-13 22:00:00,38,"the children","GB","web",0
"57",2013-04-20 22:00:00,39,"the children","GB","web",0
"58",2013-04-27 22:00:00,37,"the children","GB","web",0
"59",2013-05-04 22:00:00,37,"the children","GB","web",0
"60",2013-05-11 22:00:00,38,"the children","GB","web",0
"61",2013-05-18 22:00:00,37,"the children","GB","web",0
"62",2013-05-25 22:00:00,29,"the children","GB","web",0
"63",2013-06-01 22:00:00,33,"the children","GB","web",0
"64",2013-06-08 22:00:00,34,"the children","GB","web",0
"65",2013-06-15 22:00:00,33,"the children","GB","web",0
"66",2013-06-22 22:00:00,31,"the children","GB","web",0
"67",2013-06-29 22:00:00,29,"the children","GB","web",0
"68",2013-07-06 22:00:00,29,"the children","GB","web",0
"69",2013-07-13 22:00:00,26,"the children","GB","web",0
"70",2013-07-20 22:00:00,25,"the children","GB","web",0
"71",2013-07-27 22:00:00,25,"the children","GB","web",0
"72",2013-08-03 22:00:00,28,"the children","GB","web",0
"73",2013-08-10 22:00:00,23,"the children","GB","web",0
"74",2013-08-17 22:00:00,25,"the children","GB","web",0
"75",2013-08-24 22:00:00,23,"the children","GB","web",0
"76",2013-08-31 22:00:00,30,"the children","GB","web",0
"77",2013-09-07 22:00:00,35,"the children","GB","web",0
"78",2013-09-14 22:00:00,35,"the children","GB","web",0
"79",2013-09-21 22:00:00,40,"the children","GB","web",0
"80",2013-09-28 22:00:00,41,"the children","GB","web",0
"81",2013-10-05 22:00:00,43,"the children","GB","web",0
"82",2013-10-12 22:00:00,41,"the children","GB","web",0
"83",2013-10-19 22:00:00,39,"the children","GB","web",0
"84",2013-10-26 22:00:00,35,"the children","GB","web",0
"85",2013-11-02 23:00:00,47,"the children","GB","web",0
"86",2013-11-09 23:00:00,62,"the children","GB","web",0
"87",2013-11-16 23:00:00,47,"the children","GB","web",0
"88",2013-11-23 23:00:00,43,"the children","GB","web",0
"89",2013-11-30 23:00:00,42,"the children","GB","web",0
"90",2013-12-07 23:00:00,46,"the children","GB","web",0
"91",2013-12-14 23:00:00,37,"the children","GB","web",0
"92",2013-12-21 23:00:00,23,"the children","GB","web",0
"93",2013-12-28 23:00:00,31,"the children","GB","web",0
"94",2014-01-04 23:00:00,34,"the children","GB","web",0
"95",2014-01-11 23:00:00,34,"the children","GB","web",0
"96",2014-01-18 23:00:00,35,"the children","GB","web",0
"97",2014-01-25 23:00:00,32,"the children","GB","web",0
"98",2014-02-01 23:00:00,34,"the children","GB","web",0
"99",2014-02-08 23:00:00,31,"the children","GB","web",0
"100",2014-02-15 23:00:00,27,"the children","GB","web",0
"101",2014-02-22 23:00:00,38,"the children","GB","web",0
"102",2014-03-01 23:00:00,38,"the children","GB","web",0
"103",2014-03-08 23:00:00,35,"the children","GB","web",0
"104",2014-03-15 23:00:00,34,"the children","GB","web",0
"105",2014-03-22 23:00:00,32,"the children","GB","web",0
"106",2014-03-29 23:00:00,33,"the children","GB","web",0
"107",2014-04-05 22:00:00,29,"the children","GB","web",0
"108",2014-04-12 22:00:00,26,"the children","GB","web",0
"109",2014-04-19 22:00:00,32,"the children","GB","web",0
"110",2014-04-26 22:00:00,35,"the children","GB","web",0
"111",2014-05-03 22:00:00,37,"the children","GB","web",0
